Set,Scryfall C. Num,Card Number,Spanish,French,Italian,Illustration Short,Artist,Illustration Id
psal,B8,8,2005-08-22,2005-08-22,2005-08-22,Orange Light Mid,John Avon,a008404e-decd-462e-a94b-d70c7f1217c5
psal,B9,9,2005-08-22,2005-08-22,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,B10,10,2005-08-22,2005-08-22,2005-08-22,Lean on me,John Avon,45a0e760-2c7f-473f-a50b-9bfe0726406d
psal,B11,11,2005-08-22,2005-08-22,2005-08-22,Tall bois,John Avon,b9aa17de-a31a-4ce7-ac53-a535527e4e24
psal,B12,12,2005-08-22,2005-08-22,2005-08-22,Orange Light Mid,John Avon,a008404e-decd-462e-a94b-d70c7f1217c5
psal,B20,20,2005-08-22,2005-08-22,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,B21,21,2005-08-22,2005-08-22,2005-08-22,Lean on me,John Avon,45a0e760-2c7f-473f-a50b-9bfe0726406d
psal,B22,22,2005-08-22,2005-08-22,2005-08-22,Tall bois,John Avon,b9aa17de-a31a-4ce7-ac53-a535527e4e24
psal,B23,23,2005-08-22,2005-08-22,2005-08-22,Orange Light Mid,John Avon,a008404e-decd-462e-a94b-d70c7f1217c5
psal,B24,24,2005-08-22,2005-08-22,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,B33,33,2005-08-22,2005-08-22,2005-08-22,Lean on me,John Avon,45a0e760-2c7f-473f-a50b-9bfe0726406d
psal,B34,34,2005-08-22,2005-08-22,2005-08-22,Tall bois,John Avon,b9aa17de-a31a-4ce7-ac53-a535527e4e24
psal,B35,35,2005-08-22,2005-08-22,2005-08-22,Orange Light Mid,John Avon,a008404e-decd-462e-a94b-d70c7f1217c5
psal,B36,36,2005-08-22,2005-08-22,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,B45,45,2005-08-22,2005-08-22,2005-08-22,Lean on me,John Avon,45a0e760-2c7f-473f-a50b-9bfe0726406d
psal,B46,46,2005-08-22,2005-08-22,2005-08-22,Tall bois,John Avon,b9aa17de-a31a-4ce7-ac53-a535527e4e24
psal,B47,47,2005-08-22,2005-08-22,2005-08-22,Orange Light Mid,John Avon,a008404e-decd-462e-a94b-d70c7f1217c5
psal,B48,48,2005-08-22,2005-08-22,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,B56,56,2005-08-22,2005-08-22,2005-08-22,Lean on me,John Avon,45a0e760-2c7f-473f-a50b-9bfe0726406d
psal,B57,57,2005-08-22,2005-08-22,2005-08-22,Tall bois,John Avon,b9aa17de-a31a-4ce7-ac53-a535527e4e24
psal,B58,58,2005-08-22,2005-08-22,2005-08-22,Orange Light Mid,John Avon,a008404e-decd-462e-a94b-d70c7f1217c5
psal,B59,59,2005-08-22,2005-08-22,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,B60,60,2005-08-22,2005-08-22,2005-08-22,Lean on me,John Avon,45a0e760-2c7f-473f-a50b-9bfe0726406d
psal,D11,11,2005-08-22,2005-08-22,2005-08-22,Orange Light Mid,John Avon,a008404e-decd-462e-a94b-d70c7f1217c5
psal,D12,12,2005-08-22,2005-08-22,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,D23,23,2005-08-22,2005-08-22,2005-08-22,Lean on me,John Avon,45a0e760-2c7f-473f-a50b-9bfe0726406d
psal,D24,24,2005-08-22,2005-08-22,2005-08-22,Tall bois,John Avon,b9aa17de-a31a-4ce7-ac53-a535527e4e24
psal,D48,48,2005-08-22,2005-08-22,2005-08-22,Orange Light Mid,John Avon,a008404e-decd-462e-a94b-d70c7f1217c5
psal,D59,59,2005-08-22,2005-08-22,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,D60,60,2005-08-22,2005-08-22,2005-08-22,Lean on me,John Avon,45a0e760-2c7f-473f-a50b-9bfe0726406d
psal,I33,33,2005-08-22,2005-08-22,2005-08-22,Orange Light Mid,John Avon,a008404e-decd-462e-a94b-d70c7f1217c5
psal,I34,34,2005-08-22,2005-08-22,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,I35,35,2005-08-22,2005-08-22,2005-08-22,Lean on me,John Avon,45a0e760-2c7f-473f-a50b-9bfe0726406d
psal,I36,36,2005-08-22,2005-08-22,2005-08-22,Tall bois,John Avon,b9aa17de-a31a-4ce7-ac53-a535527e4e24
psal,I46,46,2005-08-22,2005-08-22,2005-08-22,Orange Light Mid,John Avon,a008404e-decd-462e-a94b-d70c7f1217c5
psal,I47,47,2005-08-22,2005-08-22,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,I48,48,2005-08-22,2005-08-22,2005-08-22,Lean on me,John Avon,45a0e760-2c7f-473f-a50b-9bfe0726406d
psal,I58,58,2005-08-22,2005-08-22,2005-08-22,Lean on me,John Avon,45a0e760-2c7f-473f-a50b-9bfe0726406d
psal,I59,59,2005-08-22,2005-08-22,2005-08-22,Orange Light Mid,John Avon,a008404e-decd-462e-a94b-d70c7f1217c5
psal,I60,60,2005-08-22,2005-08-22,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,J8,8,2005-08-22,2005-08-22,2005-08-22,Orange Light Mid,John Avon,a008404e-decd-462e-a94b-d70c7f1217c5
psal,J9,9,2005-08-22,2005-08-22,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,J10,10,2005-08-22,2005-08-22,2005-08-22,Lean on me,John Avon,45a0e760-2c7f-473f-a50b-9bfe0726406d
psal,J20,20,2005-08-22,2005-08-22,2005-08-22,Tall bois,John Avon,b9aa17de-a31a-4ce7-ac53-a535527e4e24
psal,J21,21,2005-08-22,2005-08-22,2005-08-22,Orange Light Mid,John Avon,a008404e-decd-462e-a94b-d70c7f1217c5
psal,J22,22,2005-08-22,2005-08-22,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,J33,33,2005-08-22,2005-08-22,2005-08-22,Lean on me,John Avon,45a0e760-2c7f-473f-a50b-9bfe0726406d
psal,J34,34,2005-08-22,2005-08-22,2005-08-22,Tall bois,John Avon,b9aa17de-a31a-4ce7-ac53-a535527e4e24
psal,J44,44,2005-08-22,2005-08-22,2005-08-22,Orange Light Mid,John Avon,a008404e-decd-462e-a94b-d70c7f1217c5
psal,J45,45,2005-08-22,2005-08-22,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,J46,46,2005-08-22,2005-08-22,2005-08-22,Lean on me,John Avon,45a0e760-2c7f-473f-a50b-9bfe0726406d
psal,J56,56,2005-08-22,2005-08-22,2005-08-22,Tall bois,John Avon,b9aa17de-a31a-4ce7-ac53-a535527e4e24
psal,J57,57,2005-08-22,2005-08-22,2005-08-22,Orange Light Mid,John Avon,a008404e-decd-462e-a94b-d70c7f1217c5
psal,J58,58,2005-08-22,2005-08-22,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,K8,8,NO,NO,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,K9,9,NO,NO,2005-08-22,Complex Curly,Anthony S. Waters,ab752bab-e271-453c-94ca-7df6ecb4954e
psal,K10,10,NO,NO,2005-08-22,Ravnica,Stephan Martiniere,7016acf1-7679-4c32-aa5c-9c5eaaccd328
psal,K20,20,NO,NO,2005-08-22,Kamigawa,Rob Alexander,65ae37b2-27ae-4680-865c-bc9a4e3156e9
psal,K21,21,NO,NO,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,K22,22,NO,NO,2005-08-22,Complex Curly,Anthony S. Waters,ab752bab-e271-453c-94ca-7df6ecb4954e
psal,K23,23,NO,NO,2005-08-22,Ravnica,Stephan Martiniere,7016acf1-7679-4c32-aa5c-9c5eaaccd328
psal,K32,32,NO,NO,2005-08-22,Kamigawa,Rob Alexander,65ae37b2-27ae-4680-865c-bc9a4e3156e9
psal,K33,33,NO,NO,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,K34,34,NO,NO,2005-08-22,Complex Curly,Anthony S. Waters,ab752bab-e271-453c-94ca-7df6ecb4954e
psal,K45,45,NO,NO,2005-08-22,Ravnica,Stephan Martiniere,7016acf1-7679-4c32-aa5c-9c5eaaccd328
psal,K46,46,NO,NO,2005-08-22,Kamigawa,Rob Alexander,65ae37b2-27ae-4680-865c-bc9a4e3156e9
psal,K47,47,NO,NO,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,K56,56,NO,NO,2005-08-22,Complex Curly,Anthony S. Waters,ab752bab-e271-453c-94ca-7df6ecb4954e
psal,K57,57,NO,NO,2005-08-22,Ravnica,Stephan Martiniere,7016acf1-7679-4c32-aa5c-9c5eaaccd328
psal,K58,58,NO,NO,2005-08-22,Kamigawa,Rob Alexander,65ae37b2-27ae-4680-865c-bc9a4e3156e9
psal,L12,12,NO,NO,2005-08-22,Ravnica,Stephan Martiniere,7016acf1-7679-4c32-aa5c-9c5eaaccd328
psal,L24,24,NO,NO,2005-08-22,Complex Curly,Anthony S. Waters,ab752bab-e271-453c-94ca-7df6ecb4954e
psal,L36,36,NO,NO,2005-08-22,Green Haze,John Avon,74980bb4-4270-404b-a441-1dd53bdb4682
psal,L48,48,NO,NO,2005-08-22,Kamigawa,Rob Alexander,65ae37b2-27ae-4680-865c-bc9a4e3156e9
psal,L60,60,NO,NO,2005-08-22,Ravnica,Stephan Martiniere,7016acf1-7679-4c32-aa5c-9c5eaaccd328
